###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59621.490447  20.943  1.119    15   17 o  0   0.87 190.74695  48.37041  2097.46  3649.02 2.78 2.70 -54.1 -0.479 19.14 20.29 01a59621o0603o
59621.495514 -21.906  2.676    -6   17 o  0   0.81 190.74695  48.37041  2113.82  3533.81 2.83 2.70 -41.7 -0.483 19.14 20.32 01a59621o0614o
59621.561916 -20.843  0.456   -17    8 c  0   1.72 190.74695  48.37041  4714.06   761.67 2.44 2.25 -69.7 -0.437 19.75 21.76 02a59621o0728c
59621.565115   0.000 21.615    -0    8 c  0   1.37 190.74695  48.37041  4734.11   799.94 2.46 2.25 -72.0 -0.432 19.76 21.81 02a59621o0735c
59621.570608  22.290  1.576     4    7 c  0   1.60 190.74695  48.37041  4679.55   722.51 2.46 2.24 -73.5 -0.440 19.75 21.84 02a59621o0747c
59621.605841  21.123  0.835    13   11 c  0   0.80 190.74695  48.37041  5926.46  9727.39 2.47 2.40 -54.4 -0.420 19.80 21.84 02a59621o0823c
59622.432336  21.270  1.653    11   19 o  0   0.66 190.74695  48.37041  4688.61   756.61 1.94 1.78 -60.6 -0.493 19.23 19.89 02a59622o0475o
59622.435130  21.570  1.778     9   15 o  0   1.10 190.74695  48.37041  4704.74   795.32 1.95 1.76 -55.9 -0.483 19.25 19.91 02a59622o0481o
59622.437918  20.673  0.830    20   16 o  0   1.00 190.74695  48.37041  4650.32   717.40 2.00 1.87 -63.2 -0.477 19.20 19.91 02a59622o0487o
59622.455825 -22.484  3.421    -4   13 o  0   1.43 190.74695  48.37041  4633.50   834.63 1.98 1.83 -63.6 -0.472 19.27 19.98 02a59622o0524o
59623.458285  20.355  0.811    26   21 o  0   1.18 190.74695  48.37041  2055.42  3615.58 3.07 2.80 -46.2 -0.468 18.82 19.74 01a59623o0548o
59623.467063  20.250  0.801    29   23 o  0   0.86 190.74695  48.37041  2035.43  3577.37 3.06 2.80 -44.3 -0.463 18.80 19.79 01a59623o0567o
59623.478585  22.779  7.615     3   21 o  0   1.24 190.74695  48.37041  2097.17  3652.54 3.15 2.89 -44.5 -0.454 18.84 19.85 01a59623o0592o
59623.479845  20.869  0.935    16   15 o  0   1.04 190.74695  48.37041  4694.13   759.19 2.16 1.88 -54.1 -0.458 19.14 19.77 02a59623o0597o
59623.481351 -22.330  4.619    -4   20 o  0   1.21 190.74695  48.37041  2115.04  3534.83 3.04 2.79 -46.9 -0.466 18.85 19.88 01a59623o0598o
59623.483975  21.391  1.812    10   18 o  0   0.95 190.74695  48.37041  4713.11   798.51 2.11 1.88 -55.7 -0.459 19.13 19.78 02a59623o0606o
